username,gender,age,weight,user_id,user_pw,email,role,created_at,updated_at
vylXfjfo,여성,2006,84.82,1,Tave1234**,kf7oe9cf@naver.com,USER,NOW(),NOW()
m8yMcSRY,남성,2004,70.31,2,Tave1234**,wftsvnm5@naver.com,USER,NOW(),NOW()
Qlm0g6KK,남성,2005,86.55,3,Tave1234**,musvspbc@naver.com,USER,NOW(),NOW()
NM05xGtO,남성,2004,96.85,4,Tave1234**,x1d71lw5@naver.com,USER,NOW(),NOW()
ulmkWLCp,남성,2004,86.18,5,Tave1234**,ibugnuqg@naver.com,USER,NOW(),NOW()
yk4FVGJy,남성,2006,86.18,6,Tave1234**,okphjqn9@naver.com,USER,NOW(),NOW()
ZQk7NG5E,여성,2004,81.65,7,Tave1234**,o0ky2csz@naver.com,USER,NOW(),NOW()
rXpfIAvC,남성,2006,62.14,8,Tave1234**,rea77qn2@naver.com,USER,NOW(),NOW()
Jnxn4qNA,남성,2007,81.65,9,Tave1234**,1so8lnio@naver.com,USER,NOW(),NOW()
mngreqQ5,남성,2007,56.70,10,Tave1234**,hcht3u8s@naver.com,USER,NOW(),NOW()
ZlW2QGEs,남성,2005,52.62,11,Tave1234**,8g5jy40b@naver.com,USER,NOW(),NOW()
kAGNSK9d,남성,2006,49.90,12,Tave1234**,shep2q0x@naver.com,USER,NOW(),NOW()
pb0Ciytd,여성,2007,119.75,13,Tave1234**,pvjz1fpe@naver.com,USER,NOW(),NOW()
byFr4WA0,남성,2005,55.79,14,Tave1234**,o717xeap@naver.com,USER,NOW(),NOW()
VzvM6oyW,여성,2005,83.91,15,Tave1234**,6opn5wm3@naver.com,USER,NOW(),NOW()
tQjHOiHz,여성,2007,81.65,16,Tave1234**,juvaxizr@naver.com,USER,NOW(),NOW()
dBiEXbq2,남성,2007,65.77,17,Tave1234**,t3oqk1ua@naver.com,USER,NOW(),NOW()
5vw8r8TD,여성,2007,77.11,18,Tave1234**,8pib0r21@naver.com,USER,NOW(),NOW()
Lzfj74aq,남성,2006,61.23,19,Tave1234**,ms7h01v2@naver.com,USER,NOW(),NOW()
CBpjQcBA,여성,2007,74.84,20,Tave1234**,8l3hrfms@naver.com,USER,NOW(),NOW()
OrzImqXA,여성,2006,79.38,21,Tave1234**,nlrh7mnl@naver.com,USER,NOW(),NOW()
ZyKPddKW,여성,2004,88.45,22,Tave1234**,kpcw1jpk@naver.com,USER,NOW(),NOW()
Gfh32hsT,여성,2007,83.91,23,Tave1234**,6bt4dma7@naver.com,USER,NOW(),NOW()
4wEXkOqA,여성,2005,83.91,24,Tave1234**,ydq67ogk@naver.com,USER,NOW(),NOW()
TpT5lUTD,남성,2005,47.63,25,Tave1234**,r1v2v1wf@naver.com,USER,NOW(),NOW()
zGNEjoC5,남성,2007,56.70,26,Tave1234**,96xmjowv@naver.com,USER,NOW(),NOW()
ZeoBWubE,여성,2006,72.57,27,Tave1234**,u7bdrll6@naver.com,USER,NOW(),NOW()
Ei6l95rH,여성,2007,79.38,28,Tave1234**,lxbqxvhy@naver.com,USER,NOW(),NOW()
mpYbeJqy,여성,2005,81.65,29,Tave1234**,tnijtefb@naver.com,USER,NOW(),NOW()
3x990Knu,여성,2005,75.75,30,Tave1234**,4vp6w4ld@naver.com,USER,NOW(),NOW()
TZaxDzJO,남성,2004,52.16,31,Tave1234**,tt4ownm8@naver.com,USER,NOW(),NOW()
4eEE2B2v,여성,2006,92.99,32,Tave1234**,87czhyna@naver.com,USER,NOW(),NOW()
3nMml0ej,여성,2004,43.99,33,Tave1234**,8xq0ammn@naver.com,USER,NOW(),NOW()
SAkyiQa6,남성,2007,58.06,34,Tave1234**,9bvpvsfy@naver.com,USER,NOW(),NOW()
